2024-06-26 16:06:113 INFO  HomePage :104 - select job type dropdown[[ChromeDriver: chrome on windows (2e3de772c602f24679c795c83b6447d2)] -> xpath: //select[@id='tempperm']]
2024-06-26 16:06:503 INFO  HomePage :110 - click on find job [[ChromeDriver: chrome on windows (2e3de772c602f24679c795c83b6447d2)] -> xpath: //input[@id='hp-search-btn']]
2024-06-26 16:06:279 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 16:06:63 INFO  HomePage :57 - Enter job titleAdmin
2024-06-26 16:06:583 INFO  HomePage :63 - Enter locationHounslow
2024-06-26 16:06:42 INFO  HomePage :69 - Enter location[[ChromeDriver: chrome on windows (35acdc8c98d8751cffa76f1546afe933)] -> xpath: //select[@id='distance']]
2024-06-26 16:06:383 INFO  HomePage :74 - click on more option [[ChromeDriver: chrome on windows (35acdc8c98d8751cffa76f1546afe933)] -> xpath: //button[@id='toggle-hp-search']]
2024-06-26 16:06:106 INFO  HomePage :82 - Salary minimum[[ChromeDriver: chrome on windows (35acdc8c98d8751cffa76f1546afe933)] -> xpath: //input[@id='salarymin']]
2024-06-26 16:06:418 INFO  HomePage :89 - salary max [[ChromeDriver: chrome on windows (35acdc8c98d8751cffa76f1546afe933)] -> xpath: //input[@id='salarymax']]
2024-06-26 16:06:821 INFO  HomePage :97 - salary type dropdown [[ChromeDriver: chrome on windows (35acdc8c98d8751cffa76f1546afe933)] -> xpath: //select[@id='salarytype']]
2024-06-26 16:06:204 INFO  HomePage :104 - select job type dropdown[[ChromeDriver: chrome on windows (35acdc8c98d8751cffa76f1546afe933)] -> xpath: //select[@id='tempperm']]
2024-06-26 16:06:514 INFO  HomePage :110 - click on find job [[ChromeDriver: chrome on windows (35acdc8c98d8751cffa76f1546afe933)] -> xpath: //input[@id='hp-search-btn']]
2024-06-26 16:06:880 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 16:06:984 INFO  HomePage :57 - Enter job titleCustomer Assistant
2024-06-26 16:06:875 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 16:06:09 INFO  HomePage :57 - Enter job titleTester
2024-06-26 16:06:544 INFO  HomePage :63 - Enter locationHarrow
2024-06-26 16:06:144 INFO  HomePage :69 - Enter location[[ChromeDriver: chrome on windows (79988cf86162f4dbcb33ae26d1333af8)] -> xpath: //select[@id='distance']]
2024-06-26 16:06:484 INFO  HomePage :74 - click on more option [[ChromeDriver: chrome on windows (79988cf86162f4dbcb33ae26d1333af8)] -> xpath: //button[@id='toggle-hp-search']]
2024-06-26 16:06:109 INFO  HomePage :82 - Salary minimum[[ChromeDriver: chrome on windows (79988cf86162f4dbcb33ae26d1333af8)] -> xpath: //input[@id='salarymin']]
2024-06-26 16:06:414 INFO  HomePage :89 - salary max [[ChromeDriver: chrome on windows (79988cf86162f4dbcb33ae26d1333af8)] -> xpath: //input[@id='salarymax']]
2024-06-26 16:06:862 INFO  HomePage :97 - salary type dropdown [[ChromeDriver: chrome on windows (79988cf86162f4dbcb33ae26d1333af8)] -> xpath: //select[@id='salarytype']]
2024-06-26 16:06:277 INFO  HomePage :104 - select job type dropdown[[ChromeDriver: chrome on windows (79988cf86162f4dbcb33ae26d1333af8)] -> xpath: //select[@id='tempperm']]
2024-06-26 16:06:617 INFO  HomePage :110 - click on find job [[ChromeDriver: chrome on windows (79988cf86162f4dbcb33ae26d1333af8)] -> xpath: //input[@id='hp-search-btn']]
2024-06-26 16:06:862 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 16:06:834 INFO  HomePage :57 - Enter job titleAdmin
2024-06-26 16:06:168 INFO  HomePage :63 - Enter locationHounslow
2024-06-26 16:06:629 INFO  HomePage :69 - Enter location[[ChromeDriver: chrome on windows (dc95f22a1f74bea533a8e76ca502a8b6)] -> xpath: //select[@id='distance']]
2024-06-26 16:06:969 INFO  HomePage :74 - click on more option [[ChromeDriver: chrome on windows (dc95f22a1f74bea533a8e76ca502a8b6)] -> xpath: //button[@id='toggle-hp-search']]
2024-06-26 16:06:496 INFO  HomePage :82 - Salary minimum[[ChromeDriver: chrome on windows (dc95f22a1f74bea533a8e76ca502a8b6)] -> xpath: //input[@id='salarymin']]
2024-06-26 16:06:819 INFO  HomePage :89 - salary max [[ChromeDriver: chrome on windows (dc95f22a1f74bea533a8e76ca502a8b6)] -> xpath: //input[@id='salarymax']]
2024-06-26 16:06:223 INFO  HomePage :97 - salary type dropdown [[ChromeDriver: chrome on windows (dc95f22a1f74bea533a8e76ca502a8b6)] -> xpath: //select[@id='salarytype']]
2024-06-26 16:06:555 INFO  HomePage :104 - select job type dropdown[[ChromeDriver: chrome on windows (dc95f22a1f74bea533a8e76ca502a8b6)] -> xpath: //select[@id='tempperm']]
2024-06-26 16:06:818 INFO  HomePage :110 - click on find job [[ChromeDriver: chrome on windows (dc95f22a1f74bea533a8e76ca502a8b6)] -> xpath: //input[@id='hp-search-btn']]
2024-06-26 16:06:671 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 16:06:564 INFO  HomePage :57 - Enter job titleCustomer Assistant
2024-06-26 16:06:196 INFO  HomePage :63 - Enter locationHayes
2024-06-26 16:06:639 INFO  HomePage :69 - Enter location[[ChromeDriver: chrome on windows (a6447516d1cda6a9dd9ac3eaf584f136)] -> xpath: //select[@id='distance']]
2024-06-26 16:06:946 INFO  HomePage :74 - click on more option [[ChromeDriver: chrome on windows (a6447516d1cda6a9dd9ac3eaf584f136)] -> xpath: //button[@id='toggle-hp-search']]
2024-06-26 16:06:561 INFO  HomePage :82 - Salary minimum[[ChromeDriver: chrome on windows (a6447516d1cda6a9dd9ac3eaf584f136)] -> xpath: //input[@id='salarymin']]
2024-06-26 16:06:822 INFO  HomePage :89 - salary max [[ChromeDriver: chrome on windows (a6447516d1cda6a9dd9ac3eaf584f136)] -> xpath: //input[@id='salarymax']]
2024-06-26 16:06:368 INFO  HomePage :97 - salary type dropdown [[ChromeDriver: chrome on windows (a6447516d1cda6a9dd9ac3eaf584f136)] -> xpath: //select[@id='salarytype']]
2024-06-26 16:06:845 INFO  HomePage :104 - select job type dropdown[[ChromeDriver: chrome on windows (a6447516d1cda6a9dd9ac3eaf584f136)] -> xpath: //select[@id='tempperm']]
2024-06-26 16:06:256 INFO  HomePage :110 - click on find job [[ChromeDriver: chrome on windows (a6447516d1cda6a9dd9ac3eaf584f136)] -> xpath: //input[@id='hp-search-btn']]
